"month","vertical","category_name","subcategory_name","total_clicks","total_sessions","market_share_clicks","market_share_sessions"
"2020-04-01","Fashion","Clothing","T-Shirts","195581","350698",11.72790535212619,11.570349910227826
"2020-04-01","Fashion","Shoes","Sneakers","190930","357082",11.449010736633177,11.78097304987189
"2020-04-01","Fashion","Clothing","Pants","183744","330614",11.018106262986048,10.907731624417767
"2020-04-01","Fashion","Accessories","Bags","180485","340004",10.822682149485354,11.217529757446867
"2020-04-01","Fashion","Clothing","Jackets","128292","225588",7.692958075861014,7.442677447685686
"2020-04-01","Fashion","Shoes","","125743","229774",7.540108715531691,7.580783409864579
"2020-04-01","Fashion","Clothing","Sweaters","93107","166242",5.583109216234773,5.484713656126052
"2020-04-01","Fashion","Clothing","Dresses","92185","169872",5.527822001553079,5.604475873686822
"2020-04-01","Fashion","Clothing","","36825","68542",2.2081905430079964,2.261361409380252
"2020-04-01","Fashion","Clothing","Underwear","36382","66082",2.181626295606705,2.180200237148986
"2020-04-01","Fashion","Shoes","Low-Cut Shoes","33610","59894",2.0154048649151055,1.9760435974062736
"2020-04-01","Fashion","Clothing","Swimwear","27292","49882",1.6365495261310044,1.645724224894309
"2020-04-01","Fashion","Shoes","Sandals","26952","48168",1.6161616161616161,1.5891753431039066
"2020-04-01","Fashion","Clothing","Shirts","25931","46744",1.5549379218123653,1.5421942417797918
"2020-04-01","Fashion","Clothing","Blouses","23554","42210",1.4124024453499076,1.3926069430413532
"2020-04-01","Fashion","Accessories","Jewelry","23048","42818",1.382060438160171,1.4126662896741213
"2020-04-01","Fashion","Accessories","Caps","22367","39936",1.3412246537803083,1.3175823472470856
"2020-04-01","Fashion","Accessories","Wallets","19503","35744",1.1694864945087562,1.179278430989579
"2020-04-01","Fashion","Clothing","Coats","18213","32352",1.0921323655072541,1.0673683918804515
"2020-04-01","Fashion","Accessories","Sunglasses","18111","32824",1.0860159925164377,1.0829407793979953
"2020-04-01","Fashion","Accessories","Belts","16419","28802",0.9845561581981885,0.9502455620345192
"2020-04-01","Fashion","Shoes","Summer Shoes","16066","29096",0.9633887104946768,0.9599453118865486
"2020-04-01","Fashion","Clothing","Jeans","12315","21846",0.7384620919794561,0.7207508002293628
"2020-04-01","Fashion","Shoes","Boots","9167","17102",0.5496940314393565,0.5642351087394746
"2020-04-01","Fashion","Clothing","Suits","9045","16406",0.5423783696268113,0.5412724356203847
